Student{studentId=101, studentName='AAMIR', studentRollNumber='15CS'}
Student{studentId=101, studentName='AAMIR', studentRollNumber='15CS'}
Student{studentId=102, studentName='YASIR', studentRollNumber='16SWE'}
Student{studentId=101, studentName='AAMIR', studentRollNumber='15CS'}
Student{studentId=102, studentName='YASIR', studentRollNumber='16SWE'}
Student{studentId=103, studentName='ADNAN', studentRollNumber='15SW33'}
Student{studentId=101, studentName='AAMIR', studentRollNumber='15CS'}
Student{studentId=102, studentName='YASIR', studentRollNumber='16SWE'}
Student{studentId=103, studentName='ADNAN', studentRollNumber='15SW33'}
Student{studentId=104, studentName='AADIL', studentRollNumber='CSM5'}
Student{studentId=101, studentName='AAMIR', studentRollNumber='15CS'}
Student{studentId=102, studentName='YASIR', studentRollNumber='16SWE'}
Student{studentId=103, studentName='ADNAN', studentRollNumber='15SW33'}
